ABS;MUTLAK
MINVERSE;DİZEY_TERS
MIRR;D_İÇ_VERİM_ORANI
MMULT;DÇARP
MOD;MOD
MODE;ENÇOK_OLAN
MODE.MULT;ENÇOK_OLAN.ÇOK
MODE.SNGL;ENÇOK_OLAN.TEK
MONTH;AY
MROUND;KYUVARLA
MULTINOMIAL;ÇOKTERİMLİ
MUNIT;BİRİMMATRİS
N;S
NA;YOKSAY
NEGBINOM.DIST;NEGBİNOM.DAĞ
NEGBINOMDIST;NEGBİNOMDAĞ
NETWORKDAYS;TAMİŞGÜNÜ
NETWORKDAYS.INTL;TAMİŞGÜNÜ.ULUSL
NOMINAL;NOMİNAL
NORM.DIST;NORM.DAĞ
NORM.INV;NORM.TERS
NORM.S.DIST;NORM.S.DAĞ
NORM.S.INV;NORM.S.TERS
NORMDIST;NORMDAĞ
NORMINV;NORMTERS
NORMSDIST;NORMSDAĞ
NORMSINV;NORMSTERS
NOT;DEĞİL
NOW;ŞİMDİ
NPER;TAKSİT_SAYISI
NPV;NBD
NUMBERVALUE;SAYIDEĞERİ
OCT2BIN;OCT2BIN
OCT2DEC;OCT2DEC
OCT2HEX;OCT2HEX
ODD;TEK
ODDFPRICE;TEKYDEĞER
ODDFYIELD;TEKYÖDEME
ODDLPRICE;TEKSDEĞER
ODDLYIELD;TEKSÖDEME
OFFSET;KAYDIR
OR;YADA
PDURATION;PSÜRE
PEARSON;PEARSON
PERCENTILE;YÜZDEBİRLİK
PERCENTILE.EXC;YÜZDEBİRLİK.HRC
PERCENTILE.INC;YÜZDEBİRLİK.DHL
PERCENTRANK;YÜZDERANK
PERCENTRANK.EXC;YÜZDERANK.HRC
PERCENTRANK.INC;YÜZDERANK.DHL
PERMUT;PERMÜTASYON
PERMUTATIONA;PERMÜTASYONA
PHI;PHI
PHONETIC;SES
PI;Pİ
PMT;DEVRESEL_ÖDEME
POISSON;POISSON
POISSON.DIST;POISSON.DAĞ
POWER;KUVVET
PPMT;ANA_PARA_ÖDEMESİ
PRICE;DEĞER
PRICEDISC;DEĞERİND
PRICEMAT;DEĞERVADE
PROB;OLASILIK
PRODUCT;ÇARPIM
PROPER;YAZIM.DÜZENİ
PV;BD
QUARTILE;DÖRTTEBİRLİK
QUARTILE.EXC;DÖRTTEBİRLİK.HRC
QUARTILE.INC;DÖRTTEBİRLİK.DHL
QUOTIENT;BÖLÜM
RADIANS;RADYAN
RAND;S_SAYI_ÜRET
RANDBETWEEN;RASTGELEARADA
RANK;RANK
RANK.AVG;RANK.ORT
RANK.EQ;RANK.EŞİT
RATE;FAİZ_ORANI
RECEIVED;GETİRİ
REGISTER.ID;YAZMAÇ.KODU
REPLACE, REPLACEB;DEĞİŞTİR, DEĞİŞTİRB
REPT;YİNELE
RIGHT, RIGHTB;SAĞDAN, SAĞB
ROMAN;ROMEN
ROUND;YUVARLA
ROUNDDOWN;AŞAĞIYUVARLA
ROUNDUP;YUKARIYUVARLA
ROW;SATIR
ROWS;SATIRSAY
RRI;GERÇEKLEŞENYATIRIMGETİRİSİ
RSQ;RKARE
RTD;GZV
SEARCH, SEARCHB;MBUL, ARAB
SEC;SEC
SECH;SECH
SECOND;SANİYE
SERIESSUM;SERİTOPLA
SHEET;SAYFA
SHEETS;SAYFALAR
SIGN;İŞARET
SIN;SİN
SINH;SİNH
SKEW;ÇARPIKLIK
SKEW.P;ÇARPIKLIK.P
SLN;DA
SLOPE;EĞİM
SMALL;KÜÇÜK
SQL.REQUEST;SQL.REQUEST
SQRT;KAREKÖK
SQRTPI;KAREKÖKPİ
